,KeggID,REFERENCE
187,ds:H00679,PMID:33313762
188,ds:H00679,PMID:33964137
189,ds:H00680,PMID:17041084
190,ds:H00680,PMID:19419448
191,ds:H00680,PMID:19061984
192,ds:H00681,PMID:21192260
193,ds:H00681,PMID:17958790
194,ds:H00681,PMID:15264991
195,ds:H00681,PMID:21495993
196,ds:H00681,PMID:20929727
197,ds:H00682,PMID:17710875
198,ds:H00682,PMID:19026396
199,ds:H00682,PMID:20507343
200,ds:H00682,PMID:21964978
201,ds:H00683,PMID:14126263
202,ds:H00683,PMID:12121551
203,ds:H00683,PMID:17186469
204,ds:H00684,PMID:21890491
205,ds:H00684,PMID:21326300
206,ds:H00684,PMID:7545493
207,ds:H00684,PMID:7539673
208,ds:H00684,PMID:9618173
209,ds:H00685,PMID:19732862
210,ds:H00685,PMID:11822703
211,ds:H00686,PMID:17352387
212,ds:H00686,PMID:21507892
213,ds:H00686,PMID:20301721
214,ds:H00687,PMID:12205104
215,ds:H00687,PMID:11105430
216,ds:H00687,PMID:3099574
217,ds:H00687,PMID:18661360
218,ds:H00687,PMID:22510445
219,ds:H00688,PMID:21929966
220,ds:H00688,PMID:18845459
221,ds:H00688,PMID:10470086
222,ds:H00688,PMID:11232563
223,ds:H00688,PMID:23636092
224,ds:H00688,PMID:26903630
225,ds:H00689,PMID:21929966
226,ds:H00689,PMID:18845459
227,ds:H00689,PMID:12736803
228,ds:H00689,PMID:28388406
229,ds:H00690,PMID:7612552
230,ds:H00690,PMID:2220819
231,ds:H00690,PMID:2667510
232,ds:H00690,PMID:17525176
233,ds:H00691,PMID:18571597
234,ds:H00691,PMID:12130905
235,ds:H00691,PMID:15663649
236,ds:H00692,PMID:16722554
237,ds:H00692,PMID:21103682
238,ds:H00693,PMID:10688369
239,ds:H00693,PMID:15949009
240,ds:H00693,PMID:10233323
241,ds:H00694,PMID:20946626
242,ds:H00694,PMID:15086899
243,ds:H00694,PMID:15627218
244,ds:H00695,PMID:15708285
245,ds:H00695,PMID:12603845
246,ds:H00695,PMID:12483299
247,ds:H00696,PMID:15708285
248,ds:H00696,PMID:15727652
249,ds:H00696,PMID:10662807
250,ds:H00696,PMID:10662808
251,ds:H00697,PMID:21310615
252,ds:H00697,PMID:20874719
253,ds:H00698,PMID:18367042
254,ds:H00698,PMID:20301465
255,ds:H00698,PMID:21109227
256,ds:H00698,PMID:23746549
257,ds:H00698,PMID:24268659
258,ds:H00698,PMID:25250574
259,ds:H00698,PMID:28017374
260,ds:H00699,PMID:18367042
261,ds:H00699,PMID:18313359
262,ds:H00699,PMID:17504518
263,ds:H00700,PMID:20181480
264,ds:H00700,PMID:18817572
265,ds:H00700,PMID:11053684
266,ds:H00700,PMID:22818856
267,ds:H00700,PMID:25087613
268,ds:H00700,PMID:27816943
269,ds:H00701,PMID:18300303
270,ds:H00701,PMID:19953533
271,ds:H00702,PMID:20303757
272,ds:H00702,PMID:19553118
273,ds:H00702,PMID:19953533
274,ds:H00703,PMID:21288719
275,ds:H00703,PMID:19953533
276,ds:H00704,PMID:17110089
277,ds:H00704,PMID:19080757
278,ds:H00704,PMID:22001477
279,ds:H00705,PMID:19185184
280,ds:H00705,PMID:17395134
281,ds:H00706,PMID:8151643
282,ds:H00706,PMID:15952212
283,ds:H00706,PMID:15482471
284,ds:H00706,PMID:19939300
285,ds:H00707,PMID:21844476
286,ds:H00707,PMID:12603866
287,ds:H00707,PMID:12688839
288,ds:H00707,PMID:12196741
289,ds:H00708,PMID:18049449
290,ds:H00708,PMID:16960809
291,ds:H00708,PMID:7929942
292,ds:H00709,PMID:18678320
293,ds:H00710,PMID:8747585
294,ds:H00710,PMID:9784050
295,ds:H00710,PMID:9843209
296,ds:H00710,PMID:12648223
297,ds:H00710,PMID:25398053
298,ds:H00710,PMID:28575652
299,ds:H00710,PMID:27965375
300,ds:H00710,PMID:30528822
301,ds:H00710,PMID:30321533
302,ds:H00711,PMID:19407494
303,ds:H00711,PMID:20573229
304,ds:H00711,PMID:20803658
305,ds:H00711,PMID:21282187
306,ds:H00711,PMID:33291420
307,ds:H00711,PMID:25809938
308,ds:H00712,PMID:17381453
309,ds:H00712,PMID:9122065
310,ds:H00712,PMID:2191710
311,ds:H00712,PMID:16679758
312,ds:H00712,PMID:31630791
313,ds:H00713,PMID:20803657
314,ds:H00713,PMID:12668598
315,ds:H00713,PMID:19407494
316,ds:H00713,PMID:21282187
317,ds:H00713,PMID:14997421
318,ds:H00714,PMID:19939300
319,ds:H00714,PMID:10369869
320,ds:H00714,PMID:9326398
321,ds:H00714,PMID:12615358
322,ds:H00715,PMID:21167218
323,ds:H00715,PMID:15649206
324,ds:H00715,PMID:15468148
325,ds:H00715,PMID:28507500
326,ds:H00716,PMID:19939300
327,ds:H00716,PMID:17428836
328,ds:H00716,PMID:17993581
329,ds:H00716,PMID:20583176
330,ds:H00716,PMID:20890442
331,ds:H00717,PMID:20883380
332,ds:H00717,PMID:18627762
333,ds:H00717,PMID:19558595
334,ds:H00717,PMID:17194569
335,ds:H00717,PMID:11982762
336,ds:H00718,PMID:12807965
337,ds:H00718,PMID:12464997
338,ds:H00718,PMID:14997421
339,ds:H00718,PMID:26927468
340,ds:H00718,PMID:25753423
341,ds:H00719,PMID:9128805
342,ds:H00719,PMID:9703342
343,ds:H00720,PMID:21286418
344,ds:H00720,PMID:19026859
345,ds:H00720,PMID:17498019
346,ds:H00720,PMID:16409532
347,ds:H00720,PMID:10593671
348,ds:H00720,PMID:23388215
349,ds:H00720,PMID:26969752
350,ds:H00721,PMID:18669862
351,ds:H00721,PMID:21734245
352,ds:H00721,PMID:20236864
353,ds:H00722,PMID:15708285
354,ds:H00722,PMID:19341430
355,ds:H00722,PMID:15538081
356,ds:H00722,PMID:12688839
357,ds:H00723,PMID:12688839
358,ds:H00723,PMID:8595410
359,ds:H00723,PMID:26945534
360,ds:H00724,PMID:12688839
361,ds:H00724,PMID:9028791
362,ds:H00724,PMID:7493030
363,ds:H00724,PMID:7493031
364,ds:H00725,PMID:15890322
365,ds:H00725,PMID:19026859
366,ds:H00725,PMID:20126594
367,ds:H00726,PMID:12688839
368,ds:H00726,PMID:17986293
369,ds:H00726,PMID:18806880
370,ds:H00726,PMID:17653038
371,ds:H00727,PMID:18412118
372,ds:H00727,PMID:17875913
373,ds:H00727,PMID:12833395
374,ds:H00728,PMID:16972995
375,ds:H00728,PMID:20301690
376,ds:H00728,PMID:21209740
377,ds:H00728,PMID:1309182
378,ds:H00728,PMID:22457051
379,ds:H00729,PMID:12725451
380,ds:H00729,PMID:14523039
381,ds:H00729,PMID:15123648
382,ds:H00729,PMID:21378987
383,ds:H00729,PMID:28219978
384,ds:H00730,PMID:10940383
385,ds:H00730,PMID:21512816
386,ds:H00731,PMID:18634977
387,ds:H00731,PMID:17768091
388,ds:H00731,PMID:19808477
389,ds:H00731,PMID:19070573
390,ds:H00731,PMID:21051419
391,ds:H00731,PMID:27066836
392,ds:H00732,PMID:2695876
393,ds:H00732,PMID:11486938
394,ds:H00732,PMID:1559761
395,ds:H00732,PMID:11556484
396,ds:H00732,PMID:16259644
397,ds:H00733,PMID:18341575
398,ds:H00733,PMID:16935789
399,ds:H00733,PMID:16481150
400,ds:H00734,PMID:18341575
401,ds:H00734,PMID:16935789
402,ds:H00734,PMID:16481150
403,ds:H00734,PMID:16436457
404,ds:H00734,PMID:15317751
405,ds:H00734,PMID:21439540
406,ds:H00734,PMID:23549421
407,ds:H00734,PMID:22246504
408,ds:H00734,PMID:27494380
409,ds:H00734,PMID:28173123
410,ds:H00734,PMID:28575648
411,ds:H00735,PMID:18341575
412,ds:H00735,PMID:16935789
413,ds:H00735,PMID:16444271
414,ds:H00735,PMID:26770148
415,ds:H00736,PMID:16935789
416,ds:H00736,PMID:15452860
417,ds:H00736,PMID:19061969
418,ds:H00736,PMID:11590543
419,ds:H00737,PMID:16935789
420,ds:H00737,PMID:22066523
421,ds:H00737,PMID:11100033
422,ds:H00737,PMID:21191406
423,ds:H00737,PMID:22289416
424,ds:H00737,PMID:23534700
425,ds:H00737,PMID:27476651
426,ds:H00737,PMID:29505760
427,ds:H00737,PMID:25683118
428,ds:H00738,PMID:20798280
429,ds:H00738,PMID:21929535
430,ds:H00738,PMID:9028791
431,ds:H00739,PMID:18445049
432,ds:H00739,PMID:17273967
433,ds:H00739,PMID:17940283
434,ds:H00740,PMID:21600032
435,ds:H00740,PMID:14708109
436,ds:H00740,PMID:9714442
437,ds:H00740,PMID:32497488
438,ds:H00741,PMID:21856041
439,ds:H00741,PMID:19119129
440,ds:H00741,PMID:19631310
441,ds:H00742,PMID:21865982
442,ds:H00742,PMID:22030598
443,ds:H00742,PMID:15768832
444,ds:H00743,PMID:20634695
445,ds:H00743,PMID:19571750
446,ds:H00743,PMID:17395134
447,ds:H00744,PMID:20634695
448,ds:H00744,PMID:19571750
449,ds:H00744,PMID:17395134
450,ds:H00745,PMID:20634695
451,ds:H00745,PMID:19571750
452,ds:H00745,PMID:17395134
453,ds:H00746,PMID:20634695
454,ds:H00746,PMID:19571750
455,ds:H00747,PMID:20634695
456,ds:H00747,PMID:21556020
457,ds:H00748,PMID:20634695
458,ds:H00748,PMID:19571750
459,ds:H00749,PMID:19650351
460,ds:H00749,PMID:19734086
461,ds:H00749,PMID:30165711
462,ds:H00750,PMID:18984066
463,ds:H00750,PMID:18280351
464,ds:H00750,PMID:20672378
465,ds:H00750,PMID:12215835
466,ds:H00750,PMID:26142438
467,ds:H00751,PMID:19644333
468,ds:H00751,PMID:21465651
469,ds:H00751,PMID:17468754
470,ds:H00751,PMID:22019273
471,ds:H00751,PMID:19442771
472,ds:H00751,PMID:21258341
473,ds:H00752,PMID:20556892
474,ds:H00752,PMID:20491771
475,ds:H00752,PMID:19953814
476,ds:H00753,PMID:21332471
477,ds:H00753,PMID:20560209
478,ds:H00753,PMID:20560210
479,ds:H00753,PMID:23313374
480,ds:H00754,PMID:15719488
481,ds:H00754,PMID:12434311
482,ds:H00754,PMID:20350831
483,ds:H00754,PMID:16055927
484,ds:H00754,PMID:23918762
485,ds:H00754,PMID:25597510
486,ds:H00754,PMID:27208207
487,ds:H00754,PMID:27573165
488,ds:H00755,PMID:12542527
489,ds:H00755,PMID:22028575
490,ds:H00755,PMID:16150218
491,ds:H00756,PMID:9475596
492,ds:H00756,PMID:20205897
493,ds:H00756,PMID:27439707
494,ds:H00756,PMID:19896112
495,ds:H00757,PMID:15464420
496,ds:H00757,PMID:16470731
497,ds:H00757,PMID:12499951
498,ds:H00758,PMID:9222963
499,ds:H00758,PMID:17596985
500,ds:H00758,PMID:17483925
501,ds:H00758,PMID:16152649
502,ds:H00759,PMID:20127975
503,ds:H00759,PMID:20478267
504,ds:H00759,PMID:21856949
505,ds:H00760,PMID:20301324
506,ds:H00760,PMID:19417549
507,ds:H00760,PMID:21858081
508,ds:H00761,PMID:9714015
509,ds:H00761,PMID:9771708
510,ds:H00761,PMID:22791835
511,ds:H00762,PMID:18698629
512,ds:H00762,PMID:15602087
513,ds:H00762,PMID:9678701
514,ds:H00763,PMID:9856844
515,ds:H00763,PMID:16225626
516,ds:H00763,PMID:9406826
517,ds:H00764,PMID:16953888
518,ds:H00764,PMID:9464278
519,ds:H00764,PMID:10673328
520,ds:H00765,PMID:16080123
521,ds:H00766,PMID:21050479
522,ds:H00766,PMID:15384883
523,ds:H00766,PMID:12960215
524,ds:H00767,PMID:15121775
525,ds:H00767,PMID:18328979
526,ds:H00768,PMID:21063731
527,ds:H00768,PMID:21937992
528,ds:H00768,PMID:20092579
529,ds:H00768,PMID:17380424
530,ds:H00768,PMID:17714190
531,ds:H00768,PMID:22541559
532,ds:H00768,PMID:17847003
533,ds:H00768,PMID:18452889
534,ds:H00768,PMID:21907012
535,ds:H00768,PMID:20004765
536,ds:H00768,PMID:21212097
537,ds:H00768,PMID:21763484
538,ds:H00768,PMID:21868677
539,ds:H00768,PMID:23620220
540,ds:H00768,PMID:23390136
541,ds:H00768,PMID:23243086
542,ds:H00768,PMID:24239382
543,ds:H00768,PMID:24784135
544,ds:H00768,PMID:21498477
545,ds:H00768,PMID:24626631
546,ds:H00768,PMID:24623383
547,ds:H00768,PMID:25125150
548,ds:H00768,PMID:25480035
549,ds:H00768,PMID:25704603
550,ds:H00768,PMID:27601654
551,ds:H00768,PMID:25701870
552,ds:H00768,PMID:26206890
553,ds:H00768,PMID:26566883
554,ds:H00768,PMID:26996948
555,ds:H00768,PMID:27106596
556,ds:H00768,PMID:27055666
557,ds:H00768,PMID:21734151
558,ds:H00768,PMID:27616480
559,ds:H00768,PMID:26416544
560,ds:H00768,PMID:28257693
561,ds:H00768,PMID:27612186
562,ds:H00768,PMID:31564433
563,ds:H00768,PMID:34230638
564,ds:H00769,PMID:18707791
565,ds:H00769,PMID:20407582
566,ds:H00770,PMID:19593127
567,ds:H00770,PMID:20547629
568,ds:H00770,PMID:21310273
569,ds:H00770,PMID:24610330
570,ds:H00770,PMID:26870663
571,ds:H00770,PMID:27259756
572,ds:H00770,PMID:17102983
573,ds:H00770,PMID:28253535
574,ds:H00771,PMID:19005038
575,ds:H00771,PMID:19185186
576,ds:H00771,PMID:20146699
577,ds:H00772,PMID:19005038
578,ds:H00772,PMID:19185186
579,ds:H00772,PMID:20146699
580,ds:H00773,PMID:19904302
581,ds:H00773,PMID:18060736
582,ds:H00773,PMID:19012874
583,ds:H00773,PMID:19673947
584,ds:H00773,PMID:20890276
585,ds:H00773,PMID:21294719
586,ds:H00773,PMID:21376300
587,ds:H00773,PMID:22368300
588,ds:H00773,PMID:22426308
