,KeggID,REFERENCE
188,gn:T00156,PMID:16116077
189,gn:T00157,PMID:15064399
190,gn:T00158,PMID:14983040
191,gn:T00159,PMID:14752164
192,gn:T00160,PMID:15024419
193,gn:T00161,PMID:14762060
194,gn:T00162,PMID:14960714
195,gn:T00163,PMID:17211581
196,gn:T00164,PMID:15466049
197,gn:T00165,PMID:15368893
198,gn:T00166,PMID:15028702
199,gn:T00167,PMID:15001715
200,gn:T00168,PMID:15044751
201,gn:T00170,PMID:15064768
202,gn:T00171,PMID:15077118
203,gn:T00172,PMID:15073324
204,gn:T00173,PMID:15746425
205,gn:T00174,PMID:15115801
206,gn:T00175,PMID:15071595
207,gn:T00176,PMID:15289470
208,gn:T00177,PMID:15184674
209,gn:T00178,PMID:18952800
210,gn:T00179,PMID:16621833
211,gn:T00180,PMID:15210978
212,gn:T00181,PMID:15210978
213,gn:T00182,PMID:15213324
214,gn:T00183,PMID:15213324
215,gn:T00184,
216,gn:T00185,PMID:15514110
217,gn:T00186,PMID:15263089
218,gn:T00187,
219,gn:T00188,PMID:15286373
220,gn:T00189,PMID:15123810
221,gn:T00190,PMID:15305603
222,gn:T00191,PMID:15272401
223,gn:T00192,PMID:15305914
224,gn:T00193,PMID:15317790
225,gn:T00194,PMID:15547252
226,gn:T00195,PMID:15358858
227,gn:T00196,PMID:15383646
228,gn:T00197,PMID:15461803
229,gn:T00198,PMID:16621833
230,gn:T00199,PMID:15448271
231,gn:T00200,PMID:15383718
232,gn:T00201,PMID:15378067
233,gn:T00202,PMID:15466707
234,gn:T00203,PMID:15377794
235,gn:T00204,PMID:15377793
236,gn:T00205,PMID:15383840
237,gn:T00206,PMID:15489423
238,gn:T00207,PMID:15466710
239,gn:T00208,PMID:15467720
240,gn:T00209,PMID:15467720
241,gn:T00210,PMID:15510150
242,gn:T00211,PMID:15520287
243,gn:T00212,PMID:15543133
244,gn:T00213,PMID:15543133
245,gn:T00214,PMID:15640799
246,gn:T00215,PMID:15602564
247,gn:T00216,PMID:15618402
248,gn:T00217,PMID:15576355
249,gn:T00218,PMID:15596722
250,gn:T00219,PMID:15531882
251,gn:T00220,
252,gn:T00221,PMID:15592456
253,gn:T00222,PMID:15551059
254,gn:T00223,PMID:15637277
255,gn:T00224,PMID:15637156
256,gn:T00225,PMID:15774886
257,gn:T00226,PMID:15710748
258,gn:T00227,PMID:15660156
259,gn:T00228,PMID:17429572
260,gn:T00229,PMID:15774886
261,gn:T00230,PMID:15665824
262,gn:T00231,PMID:15671160
263,gn:T00232,PMID:16547041
264,gn:T00233,PMID:16547041
265,gn:T00234,PMID:15780005
266,gn:T00235,PMID:15673718
267,gn:T00236,PMID:15703294
268,gn:T00237,
269,gn:T00238,PMID:15729342
270,gn:T00239,PMID:15746427
271,gn:T00240,PMID:15781495
272,gn:T00241,PMID:15805518
273,gn:T00242,PMID:15837807
274,gn:T00243,PMID:15653466
275,gn:T00244,PMID:12948626
276,gn:T00245,PMID:15875012
277,gn:T00246,PMID:16043691
278,gn:T00247,PMID:15899963
279,gn:T00248,PMID:15968074
280,gn:T00249,PMID:15980861
281,gn:T00250,PMID:16237012
282,gn:T00251,PMID:15995215
283,gn:T00252,PMID:15984913
284,gn:T00253,PMID:15994557
285,gn:T00254,PMID:15994558
286,gn:T00255,PMID:15968079
287,gn:T00256,PMID:20154119
288,gn:T00257,PMID:16109880
289,gn:T00258,PMID:16043709
290,gn:T00259,PMID:19650930
291,gn:T00260,PMID:16077101
292,gn:T00261,PMID:16077101
293,gn:T00262,PMID:16088826
294,gn:T00263,PMID:16088825
295,gn:T00264,PMID:16077101
296,gn:T00265,PMID:17209016
297,gn:T00266,PMID:16159782
298,gn:T00267,PMID:18159947
299,gn:T00268,PMID:20339589
300,gn:T00269,PMID:16135568
301,gn:T00270,PMID:16707693
302,gn:T00271,PMID:16980466
303,gn:T00272,PMID:16077009
304,gn:T00273,PMID:16116419
305,gn:T00274,PMID:16122562
306,gn:T00274,PMID:16275786
307,gn:T00275,PMID:16452431
308,gn:T00276,PMID:16517654
309,gn:T00277,PMID:25197444
310,gn:T00278,PMID:16172379
311,gn:T00279,PMID:16169924
312,gn:T00280,PMID:16177312
313,gn:T00281,PMID:16957257
314,gn:T00282,PMID:16169927
315,gn:T00283,PMID:19432983
316,gn:T00284,PMID:23209255
317,gn:T00285,PMID:23227809
318,gn:T00286,
319,gn:T00287,PMID:16311624
320,gn:T00288,PMID:16237009
321,gn:T00289,
322,gn:T00290,
323,gn:T00291,
324,gn:T00292,
325,gn:T00293,
326,gn:T00294,PMID:21685289
327,gn:T00295,PMID:19473543
328,gn:T00296,PMID:17105352
329,gn:T00297,
330,gn:T00298,PMID:18065616
331,gn:T00299,PMID:16273110
332,gn:T00300,
333,gn:T00301,PMID:16275786
334,gn:T00302,PMID:18390676
335,gn:T00303,PMID:17971880
336,gn:T00304,PMID:16299333
337,gn:T00305,PMID:16303747
338,gn:T00306,PMID:16275786
339,gn:T00307,PMID:16352867
340,gn:T00308,PMID:18631365
341,gn:T00309,
342,gn:T00310,PMID:21886856
343,gn:T00311,PMID:16336651
344,gn:T00312,PMID:16330755
345,gn:T00313,PMID:16385054
346,gn:T00314,PMID:16672622
347,gn:T00315,PMID:19168610
348,gn:T00316,PMID:16365377
349,gn:T00317,PMID:16505379
350,gn:T00318,PMID:18059494
351,gn:T00319,PMID:18059494
352,gn:T00320,PMID:17151343
353,gn:T00321,PMID:19020098
354,gn:T00322,
355,gn:T00323,PMID:16517273
356,gn:T00324,
357,gn:T00325,PMID:26744606
358,gn:T00326,PMID:18461135
359,gn:T00327,PMID:16482227
360,gn:T00328,PMID:16482227
361,gn:T00329,PMID:16482227
362,gn:T00330,PMID:17526795
363,gn:T00331,
364,gn:T00332,PMID:16766509
365,gn:T00333,PMID:16513756
366,gn:T00334,PMID:19772637
367,gn:T00335,PMID:18516288
368,gn:T00336,PMID:19020098
369,gn:T00337,PMID:16617113
370,gn:T00338,PMID:16585510
371,gn:T00339,PMID:16703114
372,gn:T00340,PMID:17030797
373,gn:T00341,PMID:19404327
374,gn:T00342,PMID:17416667
375,gn:T00343,PMID:18723656
376,gn:T00344,
377,gn:T00345,PMID:19020098
378,gn:T00346,PMID:17442750
379,gn:T00347,PMID:22675587
380,gn:T00348,PMID:18326675
381,gn:T00349,PMID:16729848
382,gn:T00350,
383,gn:T00351,PMID:20463976
384,gn:T00352,PMID:19201974
385,gn:T00353,PMID:17895995
386,gn:T00354,
387,gn:T00355,PMID:16636287
388,gn:T00356,PMID:16636287
389,gn:T00357,PMID:16636287
390,gn:T00358,PMID:16636287
391,gn:T00359,PMID:17526795
392,gn:T00360,
393,gn:T00361,PMID:19805210
394,gn:T00362,PMID:16699499
395,gn:T00363,
396,gn:T00364,PMID:16754859
397,gn:T00365,PMID:16788065
398,gn:T00366,PMID:17015832
399,gn:T00367,
400,gn:T00368,
401,gn:T00369,PMID:16740952
402,gn:T00370,PMID:16740952
403,gn:T00371,PMID:16789826
404,gn:T00372,
405,gn:T00373,PMID:16879640
406,gn:T00374,
407,gn:T00375,PMID:16820047
408,gn:T00376,PMID:17098896
409,gn:T00377,PMID:16822325
410,gn:T00378,PMID:16825665
411,gn:T00379,PMID:16825665
412,gn:T00380,PMID:16878126
413,gn:T00381,PMID:17406676
414,gn:T00382,PMID:17030794
415,gn:T00383,PMID:16914037
416,gn:T00384,PMID:17151343
417,gn:T00385,PMID:17400776
418,gn:T00386,PMID:17172329
419,gn:T00387,
420,gn:T00388,
421,gn:T00389,
422,gn:T00390,PMID:16938853
423,gn:T00391,
424,gn:T00392,PMID:17827295
425,gn:T00393,PMID:17991028
426,gn:T00394,
427,gn:T00395,
428,gn:T00396,PMID:21966920
429,gn:T00397,PMID:16980487
430,gn:T00398,
431,gn:T00399,PMID:16980500
432,gn:T00400,PMID:19020098
433,gn:T00401,PMID:17038190
434,gn:T00402,PMID:16640791
435,gn:T00403,PMID:17038615
436,gn:T00404,PMID:16973745
437,gn:T00405,PMID:16973745
438,gn:T00406,PMID:17030793
439,gn:T00407,PMID:17030793
440,gn:T00408,PMID:17030793
441,gn:T00409,PMID:17030793
442,gn:T00410,PMID:17030793
443,gn:T00411,PMID:17030793
444,gn:T00412,PMID:19201974
445,gn:T00413,PMID:17041037
